saison,date,lieu,adversaire,buts_barca,buts_adversaire,resultat,tirs_barca,tirs_adversaire,tirs_cadres_barca,corners_barca,jaunes_barca,rouges_barca,arbitre
9899,1998-08-30,exterieur,Santander,0,0,N,,,,,,,
9899,1998-09-12,domicile,Extremadura,1,0,V,,,,,,,
9899,1998-09-19,exterieur,Real Madrid,2,2,N,,,,,,,
9899,1998-09-26,domicile,Celta,2,2,N,,,,,,,
9899,1998-10-03,exterieur,Valencia,3,1,V,,,,,,,
9899,1998-10-17,domicile,Salamanca,1,1,N,,,,,,,
9899,1998-10-25,exterieur,Espanol,2,1,V,,,,,,,
9899,1998-10-31,domicile,Sociedad,4,1,V,,,,,,,
9899,1998-11-08,exterieur,Oviedo,1,2,D,,,,,,,
9899,1998-11-15,domicile,Tenerife,4,1,V,,,,,,,
9899,1998-11-21,exterieur,Mallorca,0,1,D,,,,,,,
9899,1998-11-28,domicile,Ath Madrid,0,1,D,,,,,,,
9899,1998-12-05,exterieur,La Coruna,1,2,D,,,,,,,
9899,1998-12-13,domicile,Villareal,1,3,D,,,,,,,
9899,1998-12-20,exterieur,Valladolid,1,0,V,,,,,,,
9899,1999-01-03,domicile,Alaves,7,1,V,,,,,,,
9899,1999-01-09,domicile,Ath Bilbao,4,2,V,,,,,,,
9899,1999-01-17,exterieur,Betis,3,0,V,,,,,,,
9899,1999-01-24,domicile,Zaragoza,3,1,V,,,,,,,
9899,1999-01-31,domicile,Santander,3,2,V,,,,,,,
9899,1999-02-07,exterieur,Extremadura,2,1,V,,,,,,,
9899,1999-02-14,domicile,Real Madrid,3,0,V,,,,,,,
9899,1999-02-21,exterieur,Celta,0,0,N,,,,,,,
9899,1999-02-27,domicile,Valencia,2,4,D,,,,,,,
9899,1999-03-07,exterieur,Salamanca,4,1,V,,,,,,,
9899,1999-03-14,domicile,Espanol,3,0,V,,,,,,,
9899,1999-03-21,exterieur,Sociedad,2,0,V,,,,,,,
9899,1999-04-04,domicile,Oviedo,3,1,V,,,,,,,
9899,1999-04-10,exterieur,Tenerife,3,2,V,,,,,,,
9899,1999-04-17,domicile,Mallorca,2,1,V,,,,,,,
9899,1999-04-25,exterieur,Ath Madrid,1,1,N,,,,,,,
9899,1999-05-02,domicile,La Coruna,4,0,V,,,,,,,
9899,1999-05-09,exterieur,Villareal,3,2,V,,,,,,,
9899,1999-05-15,domicile,Valladolid,1,1,N,,,,,,,
9899,1999-05-22,exterieur,Alaves,4,1,V,,,,,,,
9899,1999-05-29,exterieur,Ath Bilbao,3,1,V,,,,,,,
9899,1999-06-13,domicile,Betis,4,1,V,,,,,,,
